,title,description,advertiser,date,salary,worktype,classificaiton,sub_classificaiton,city,suburb,link,category
242,Climate Research Scientist,"
The Bureau undertakes research in fulfilment of its responsibilities as a national research agency, contributing to the development of weather and climate applications for the needs of the Australian community, supporting the Bureau's operational
          services, and advancing meteorological and earth system science in Australia and globally. The Science to Services Program carries out the majority of research and development activities in the Bureau, covering the broad fields of weather, climate,
          oceanography, earth systems modelling, and applications.
The Climate Research Section focuses more specifically on climate projections, climate dynamics and feedbacks, intra-seasonal to decadal predictability, climate model assessment, and prediction products and verification. Much of the research and
          development work is carried out on high performance computing (HPC) platforms at the Bureau and the National Computational Infrastructure (NCI), based at the Australian National University.
We are looking for an outstanding climate scientist to conduct climate research to improve understanding of past and future climate change and climate variability in the Australian region. You will be a member of a small team that contributes
          to research programmes including a three-year climate research programme with the Victorian government. The team conducts research to determine the underlying causes of observed climate change and climate variability and to determine likely
          future changes to climate. 
You will conduct research, both independently and under guidance, into climate change and climate variability, and analyse observational data and extremely large data sets based on output from many climate models using a variety of sophisticated
          statistical techniques. This research will be used to improve understanding of past and future climate change and climate variability in the Australian region, with a particular focus on the state of Victoria.
You will need to have:

a very good understanding of climate variability and climate change in the Australian region and beyond. This includes knowledge of major factors influencing Australian climate, including ENSO, naturally-occurring decadal climate variability,
            and the enhanced greenhouse effect;
flexibility to work effectively and productively as a member of a team under the direction of more senior scientists, and an ability to plan and undertake research and to publish research results, in the international peer-reviewed literature,
            of relevance to the Bureau’s mission, and to contribute to the milestone reports for external stakeholders; and
strong programming skills, including extensive experience with UNIX, and with scientific and visualisation languages such as IDL, NCL, and/or Python. Some knowledge of GIS is desirable.

The applicant will also need to have an excellent knowledge of climate variability and climate change in the Australian region, the ability to devise, test and publish research in the international peer-reviewed literature, the ability to meet
          deadlines, work effectively as part of a small team, and have extensive experience in programming in a UNIX environment and in the use of scientific visualisation tools.
The position will involve close collaboration with other scientific and technical staff in the Bureau and other agencies. Experience liaising effectively with external stakeholders or the potential to do so is an advantage.
Classification of the position upon commencement will be determined by the level of experience and skills of the successful candidate. 
Mandatory requirements:
A degree or diploma from an Australian educational institution or comparable overseas qualification, which is appropriate duties; OR
Other comparable qualifications appropriate to the duties
", this company,7 Mar 2019,$79144 to $107909 plus 15.4% superannuation,Full Time,Government & Defence,Government & Defence,Melbourne,Melbourne,https://www.seek.com.au/job/38516691?type=standout&searchrequesttoken=b6b9a552-a9d8-4a72-bd2a-4300aba028fd,Research-Scientist
243,Remote Sensing Scientist,"Job Title:  Remote Sensing Scientist (12 Roles Available)Job Grade / Classification:  Environment Officer Class 7Employment Type: Temporary up to 24 Months Location: Parramatta, Albury, Newcastle, Armidale, Dubbo, Grafton Agency overviewThe
        Department of Planning & Environment is the lead NSW Government agency in planning for a growing NSW. The Department is going through an exciting period of organisational and operational change.  The Department’s vision – “Planning
        for growing NSW: inspiring strong communities, protecting our environment” – provides the benchmark for our partnership and leadership approach to engaging and working collaboratively with key State and Local Government, community and industry
        stakeholders to deliver better outcomes in the areas of planning, local government and the environment.  The NSW Office of Environment and Heritage (OEH) is a part of the Planning and Environment Cluster. It aims to enrich life in
        NSW by helping the community to conserve and enjoy our environment and heritage. For more information go to http://www.environment.nsw.gov.au/. This role will work for
        Science Division, which sits within the Office of Environment and Heritage. Science Division provides scientific evidence and knowledge to underpin environmental decision making, regulation and service delivery. About the Role: The position of Remote Sensing Scientist  is  part of a dynamic team that is  spread across  various locations in NSW.  The Remote Sensing Scientist reports to Senior Team members and is  responsible for: 
        
Contributing to large and complex scientific/technical projects 
Providing skilled GIS/remote sensing support 
Providing timely advice and communication as required
Developing and presenting technical scientific reports 
Contributing to the data management of remote sensed data
Delivering high quality science through maintaining high level, up to date knowledge and skills in relevant areas 
 Experience with scripting in python or linux is desirable. Please see the role description for further details about this role. Essential requirements:

Scientific qualifications, knowledge and demonstrated experience of delivering statewide  scientifically rigorous projects using remote sensed imagery interpretation, analysis and assessment.
Extensive experience with remote sensing and GIS software programs and data management.
 Please note: There may be opportunities for ongoing Remote Sensing Scientist roles in the future. Please read the following documents prior to preparing your application:

Role Description 
Application Guide 
Applying for a role in the NSW Public Sector 
  Our commitment to diversity and flexibility:At the Planning and Environment Cluster, we believe a diverse and inclusive workforce contributes to the success of our business and are committed
        to ensuring that our workforce reflects the communities of NSW. We understand that flexibility means different things to different people and are committed to offering flexible work arrangements where and when possible. Good to know: A Recruitment Pool may be established for future temporary and ongoing roles with similar focus capabilities. The Recruitment Pool may be available to hiring managers from DPE and other NSW Public Sector agencies over a 12-month period.  To Apply: 
        Complete the question in the online application. The question will require you to provide specific examples from your experience (4000-character limit per question). This question is shown below. Do not address these in your cover letter. Give
        an example of an environmentally focused remote sensing or GIS project you have been involved in? Describe your role, what methods or techniques you used and the key challenges and outcomes? The information provided in your application
        needs to show how you meet the focus capabilities and other essential requirements of the role. (Refer to the role description for details about the capabilities and the associated behavioural indicators. The role description also lists the essential
        role requirements.)  Applications Close: 11:59PM on Sunday 24th March Should you require further information about the role please contact; Sue Rea Team Leader, Spatial Imagery Services on 02 66402577.
        If you have any enquiries regarding the recruitment process please contact Mark Russell, Recruitment Business Partner on (02) 9585 6851. If you are viewing this advertisement on LinkedIn, please click ‘Apply’ to access more information about this role via the I Work For NSW website. ", this company,11 Mar 2019,"To $111,512 including salary, super, leave loading",Contract/Temp,Government & Defence,Government & Defence,Sydney,Sydney,https://www.seek.com.au/job/38540887?type=standard&searchrequesttoken=b6b9a552-a9d8-4a72-bd2a-4300aba028fd,Research-Scientist
244,Group Leader (Medical Scientist),"
Group Leader (Medical Scientist)
The Victorian Clinical Genetics Services (VCGS), the diagnostic testing arm of the Murdoch Children’s Research Institute located at the Royal Children’s Hospital in Melbourne, is looking for a senior medical scientist (full-time preferred) to
          take on a leadership role (Group Leader) in our Cytogenetics laboratory. VCGS is Australia’s pre-eminent genetics services providing diagnostic, clinical, and scientific leadership in Australasia, and globally. We achieve our excellence through
          a diverse and inclusive, multidisciplinary team of clinical geneticists, genetic counsellors, laboratory scientists, clinical bioinformaticians, laboratory technicians and support staff. Our people are our biggest asset, and we offer a vast
          range of benefits, support, and opportunities for our staff.
Cytogenetics laboratory
The Cytogenetics laboratory is part of the Division of Genetics & Genomics, which offers a comprehensive portfolio of routine and specialised genetic and genomic tests, including pre- and post-natal Cytogenetics, Molecular Genetics, and Clinical
          Genomics. Our unique setting allows for close integration with all our testing units, as well as the clinical service, and a wide range of research groups. This creates a best-in-class diagnostic service, delivering highest quality results backed
          by continuous development of both our staff and our technologies. As a not-for-profit organisation, all proceeds go back into research, which means we can continue to develop innovative solutions to complex problems.
Responsibilities and Key Accountabilities

Oversee and direct daily operations of the unit(s)
Work as part of the senior management team to ensure quality of diagnostic assays and reports are of a high standard
Reporting and interpretation of both normal and complex abnormal cases in your area of expertise
Manage and review reporting policy including standard interpretation and comments
Work as part of the senior management team to generate revenue and meet expenses targets
Provide direction and leadership to ensure effective operations, complete customer satisfaction and long-term sustainable growth
Actively manage staff and workloads to ensure adherence to TAT targets and quality standards
Promote a positive, collaborative, team oriented and efficient work environment
Ensures full compliance with the VCGS quality system, NATA accreditation requirements, the ISO 15189 standard, and all other applicable standards and guidelines
Oversee the training of cytogenetic staff in all relevant assays

Essential Criteria:

Bachelor of Science or Bachelor of Applied Science and/or Honours
Relevant Fellowship Qualification (FHGSA, FFSc (RCPA), or equivalent
Strong communication and leadership skills
Must have a full knowledge and practical experience of all day to day procedures carried out in a cytogenetics/molecular diagnostic laboratory
Demonstrable experience in the management of staff and workloads
Demonstrable ability to produce high quality results in a high-pressure environment
Demonstrable ability to initiate and develop new diagnostic or research procedures applicable in their laboratory environment
Working with Children & National Police Clearance (if appointed) in compliance with the Victorian Governments Child Safety Standards.
Your right to reside and work in Australia and you meeting any applicable visa conditions at commencement of employment

Only applicants who address the key selection criteria will be considered. Please place your responses to the key selection criteria at the end of your cover letter. For more information on this position, please contact: Dr Sebastian Lunke:
          sebastian.lunke@vcgs.org.au

Please note, applications will only be considered when submitted via the MCRI website. Please click apply to proceed with your application.
Appointment Duration: 3 years
Salary Range: (Grade 3-4)   $94,307.20 - $127,899.20 per annum plus super
Closing Date: 5pm Friday 5 April 2019
Position Reference: 16124
", this company,8 Mar 2019,,Full Time,Healthcare & Medical,Healthcare & Medical,Melbourne,Melbourne,https://www.seek.com.au/job/38531673?type=standout&searchrequesttoken=b6b9a552-a9d8-4a72-bd2a-4300aba028fd,Research-Scientist
245,"Research Scientist, Environmental Sensing and Automation","
The role
Deakin University is currently expanding its presence in regional Australia and has an exciting opportunity for an Electronic / Automation Engineer / Software Engineer specialising in Agricultural technologies with particular focus in wireless
          sensing and automation in Agricultural systems to join the team. The group designs and delivers world-class research and design solutions to help farmers and land managers sustainably improve their water management both in Australia and overseas.
The position will work within the Centre for Regional and Rural Futures (CeRRF) irrigation research group located in the heart of Australia’s most intensively irrigated regions, in Griffith NSW.  The position is for an initial 3 year
          fixed-term period. 
As the successful candidate you will work closely with the research staff at our Griffith facility and with staff from the CeRRF at our other Deakin campuses.  Regular liaison and collaboration with external industry partners and companies
          both for the acquisition of equipment and material and in the implementation of externally funded projects such as field monitoring and demonstrations as well as the development of wireless sensing and automation systems which can be commercially
          utilised will also be key elements of the role.
To be successful, you’ll have:

field or laboratory experience in research or industry settings with software development experience and experience maintaining sensing and/or control networks for soils, water or environmental parameters, or similar transferable skills which
            could be applied to agricultural environments
expertise in IoT sensing systems and their deployment and maintenance in a range of environments to collect sensed parameters information for research projects
an ability to program micro-controllers for sensing and control applications in IoT settings
industry or Post-doctoral research experience evidenced by the creation of patents, publications, industry outputs, conference papers, reports, or professional or technical contributions in collaboration with industry
a drivers licence as well as a willingness to live and work in Griffith, NSW.  A PhD is preferred but not essential

Your key responsibilities will be to:

conduct team based research within the field of sensing systems for water, soil and nutrient management
provide expertise, advice and support related to environmental wireless sensing and automation systems used across a range of externally funded projects undertaken by the centre
prepare and develop grant applications and research proposal submissions to external funding bodies
conduct research and engage in scholarly publication, both independently and in research teams and supervision of Masters and PhD level students
maintaining links and partnerships with rural grower groups and the farming community

Culture 
Deakin University is proud to be recognised as an organisation that offers a friendly, supportive and challenging working environment. Our staff are committed to making a genuine difference to people’s lives through excellence in education and
          research.
We acknowledge the importance of providing a dynamic and diverse working environment and offer variety in day-to-day roles as well as professional development opportunities to assist staff to grow and progress their careers.
Deakin University staff have the opportunity to interact with colleagues from a diverse range of cultures and professional backgrounds, all of whom share a common interest in lifelong learning.
Benefits 
We value our staff and understand that they are more than just their jobs, that's why we offer benefits that enhance work life. Some of Deakin’s workplace benefits include:

17% superannuation
flexible work arrangements
discounts with third party suppliers for health insurance, car rentals IT and more

About us 
The flexible learning options we provide our students and our diverse team of professionals and academic experts has enabled us to achieve a 5-star rating by the prestigious university ranking organisation Quacquarelli Symonds. For eight consecutive
          years, we've achieved the highest level of overall student satisfaction among Victorian universities.
We have a network of campuses, learning centres and research centres across Victoria and corporate offices in Melbourne, China, Indonesia, India and Sri Lanka.  Our online Cloud campus provides more than 13,000 students with access to state-of-the-art
          digital tools and direct access to world-renowned academics.
As a Victorian university with a global impact, Deakin is translating its research into commercial outcomes that will help drive innovation for Australia’s economy.
Applications close on Sunday 24 March 2019. When applying, please include a complete resume and responses to the selection criteria. Research Fellow 492334.pdf Senior Research Fellow 492334.pdf
At Deakin we value diversity, embrace difference and nurture a connected, safe and respectful community.  We recognise that our academic workforce is increasingly diverse with a variety of backgrounds, experiences and responsibilities. In many cases, academic careers can be put on hold through career breaks or part-time work arrangements to take on caring duties, gain experience in other industries, for medical reasons or other personal circumstances.  
Achievement relative to opportunity places more emphasis on the quality as opposed to the quantity of research outputs. In your application, we encourage you to comment on your achievements relative to opportunity.

", this company,1 Mar 2019,,Full Time,Education & Training,Education & Training,Wagga Wagga & Riverina,Wagga Wagga & Riverina,https://www.seek.com.au/job/38470931?type=standout&searchrequesttoken=b6b9a552-a9d8-4a72-bd2a-4300aba028fd,Research-Scientist
246,Post-doctoral Researcher in Radiation Oncology Medical Physics,"Employment Type: Temporary Full Time (Up to 2 years)Position Classification: Hospital Scientist (Scientific Officer)Remuneration: $31.62 - $45.81 per hourHours Per Week: 38Requisition ID: REQ97080
        Where you'll be workingWestern Sydney Local Health District (WSLHD) is responsible for providing primary and secondary health care for people living in the Auburn, Blacktown, and The
          Hills Shire, Holroyd and Parramatta Local Government Areas (LGAs) and tertiary care to residents of the Greater Western Region. We are committed to our vision of 'better health services for the people of western Sydney and beyond' and to the
          delivery of health care or related services in line with our core values of collaboration, openness, respect and empowerment.
What you'll be doing
The position will have a focus on translational research and development related to applications of deformable image registration with an aim to translate, develop and implement techniques into clinical practice in the radiation therapy workflow.
          
-------------------------------------------------------------

People with disabilities who meet the selection criteria are encouraged to apply; and where required, WSLHD will implement reasonable adjustment consistent with industry standard.
Stepping Up aims to assist Aboriginal job applicants by providing information about applying for roles in NSW Health organisations. For more information, please visit: http://www.steppingup.health.nsw.gov.au/ Aboriginal and/or Torres Strait Islander
          people are encouraged to apply.
*Westmead hospital car parking allocation model is changing. There is a waitlist for parking for new staff commencing at Westmead Hospital. This does not apply for staff with disability*
Please note: A person who is not an Australian citizen or a permanent resident is only eligible for temporary employment for a period not longer than the duration of their current visa or a period not shorter than the duration of the advertised
          position.

------------------------------------------------------------- 
 
Essential Criteria:

Vaccination Category: A Checks: National Police Check Qualifications: Science degree or equivalent qualification
-------------------------------------------------------------

Selection Criteria:

PhD in a relevant area from a recognised institution.
Demonstrated experience in the Technical/scientific areas such as medical imaging, computer vision, IT and its application to health.
Demonstrated ability of research experience including but not limited to publications and conference contributions.
Demonstrated skills and knowledge on scientific methods, analysis, writing and communications.
Proven record of strong organisational and project management skills.
 Proven ability to both work in a team in close collaboration, as well as the ability to work independently.


 Need more information?   1) Click here for the Position Description   2)
          Find out more about applying for this position   3) For role related queries or questions contact Jonathan Sykes on 0456 072 175 or Jonathan.Sykes@health.nsw.gov.au 
Applications Close: 21st March 2019     To view the position description or submit your applications please click the 'Apply' button below.  We are committed to Equal Employment Opportunity,
        Ethical Practices, and the principles of Cultural Diversity and promote a smoke-free work environment. Appropriate criminal record and child protection checks conducted for all positions. ", this company,8 Mar 2019,,Full Time,Healthcare & Medical,Healthcare & Medical,Sydney,Sydney,https://www.seek.com.au/job/38535680?type=standard&searchrequesttoken=b6b9a552-a9d8-4a72-bd2a-4300aba028fd,Research-Scientist
247,Assistant Scientist - Research & Development,"
Work for a global company with some of the world’s most trusted and iconic brands. Be part of an exciting business where employees are recognised and career growth is nurtured.  PepsiCo Australia & New Zealand
          is home to some of the world’s most trusted brands such as Smith's Chips, Red Rock Deli, Sakata Rice Crackers, Pepsi Max and Gatorade! We are a progressive and people-focused business, and believe our diverse workforce is the key to our success.
          Because we value our employees and their families, we offer an agile and flexible working environment with an emphasis on work life balance and health, as well as plenty of learning opportunities and room to grow your career.  We currently
          have an opportunity to join our Research and Development Team as an Assistant Scientist on a 12 month contract.  This role is part-time and would suit someone looking to work 3 days or 5 short days with
          flexible hours. The purpose of this role is to support the ANZ Seasoning Team, preparing seasoning specifications and other related documentation to help drive the innovation agenda. You will be a valuable contributor to the team.  You will be responsible for:

Preparation and tracking of new and existing Seasoning specifications into PepsiCo's Specification System
Working with Suppliers for updated specification information
Preparation of Seasoning Ingredient lists and Nutritional information in database
Preparation of other Seasoning related documentation
Other Seasoning team support as required

  To be successful in this role you will have:

University Science or related degree
At least 1+ years’ experience in the food Industry
experience using the AFGC Product Information Form or experience developing raw material specifications
Competency in computer applications - Word, Excel, Power point, Database software
Strong technical, communication and organisational skills
Strong bias towards processes & systems
Excellent analytical and problem-solving skills
Excellent computer skills and the ability to learn new systems quickly
Self-motivated with a strong attention to detail

 
What we can offer you:

Excellent work-life balance with our flexible office environment
A competitive remuneration package
Discounted retail and service benefits through our PepsiCo extras program

 Working at PepsiCo:  Your positive attitude will be rewarded with excellent long term local and global career opportunities, and ongoing professional development along with a fun and rewarding working environment.  You will be a key part of a dynamic team and a valuable contributor to a global company that is one of the FMCG market leaders. At PepsiCo, we recognise our people as a key part of our business and career progression within the business
          is encouraged and supported.  We are committed to recruiting, training and retaining high quality people, and with our new, state-of-the-art office located in a convenient location close to public transport and parking, we believe this
          to be an environment where our people thrive.  Interested? Know someone who might be? This is a great opportunity to join the PepsiCo ANZ team.  PEPSICO’S job application process:

Submit your application via our website, including a cover letter & resume
Interview and skills evaluation
Online Assessment process
Reference and background checks

 Our Commitment is to deliver Sustained Growth through Empowered People acting with Responsibility and Trust. 
", this company,27 Feb 2019,,Contract/Temp,Science & Technology,Science & Technology,Sydney,Sydney,https://www.seek.com.au/job/38447334?type=standout&searchrequesttoken=b6b9a552-a9d8-4a72-bd2a-4300aba028fd,Research-Scientist
248,Senior Research Scientist - Veterinary Bacteriology,"
SENIOR RESEARCH SCIENTIST - VETERINARY BACTERIOLOGY

$96,942 - $117,293 (Plus Superannuation)
Fixed term, 3 years
Usual Work Hours: Full Time (flexibility may be available)
Usual work location: Bundoora (flexibility may be available)

Grasp the challenge of leading a multidisciplinary team and coordinating and undertaking research to implement technical and theoretical developments in molecular biology, biosecurity and diagnostics of animal bacteria and for food safety.  The
          role provides the scope to contribute to the development of research and business opportunities, identify future research needs and contribute to funding submissions for research projects to improve knowledge of infectious disease of animals. 
          You will have the opportunity to interact with external stakeholders, including Australian and international research centres, and major commercial partners.
For appointment to this position, the following skills will be demonstrated -

a degree in Biological / Agricultural Sciences, with experience as a Senior Research Scientist in the field of bacteriology and molecular biology;
experience in leading research projects related to molecular veterinary bacteriology, genomics and diagnostic development;
extensive knowledge of veterinary bacterial diagnostics and experience in working under a compliance system;
well-developed oral and written communication skills with experience in preparation of reports and scientific publications, and ability to provide dynamic presentations tailored to the audience;
skills in team leadership and development, plus the capacity for self-direction and team work; and
excellent stakeholder management skills.

As part of the Machinery of Government changes announced by the Premier of Victoria, from 1 Jan 2019 DEDJTR transitioned into the Department of Transport (DoT) & the Department of Jobs, Precincts & Regions (DJPR).  The position of
          Senior Research Scientist - Veterinary Bacteriology will sit within the Department of Jobs, Precincts and Regions (DJPR) and is part of the Agriculture Victoria Research branch in the Agriculture Victoria Group.  Agriculture Victoria works
          with industry and community stakeholders to support the agriculture, food and fibre sector to become more globally competitive, innovative and resilient.
Successful candidates will be required to undergo a National Police Records Check prior to commencing employment with the Department.
For a confidential discussion, please call Fiona Constable, Research Leader - Microbiology on 03 9032 7283 or 0407 723 086.
For further information on the position, please see the attached position description.  To apply, please click the ‘Apply Now' button below.
Applications close at midnight on 17 March 2019 and must address the Key Selection Criteria outlined in the Position Description.
", this company,1 Mar 2019,"$96,942 - $117,293 + Super",Full Time,Science & Technology,Science & Technology,Melbourne,Melbourne,https://www.seek.com.au/job/38470621?type=standard&searchrequesttoken=b6b9a552-a9d8-4a72-bd2a-4300aba028fd,Research-Scientist
249,Environmental Scientist,, this company,12 Mar 2019,,Full Time,Consulting & Strategy,Consulting & Strategy,Brisbane,Brisbane,https://www.seek.com.au/job/38551044?type=standout&searchrequesttoken=b6b9a552-a9d8-4a72-bd2a-4300aba028fd,Research-Scientist
250,"Research Scientist, Environmental Sensing and Automation","
The role
Deakin University is currently expanding its presence in regional Australia and has an exciting opportunity for an Electronic / Automation Engineer / Software Engineer specialising in Agricultural technologies with particular focus in wireless
          sensing and automation in Agricultural systems to join the team. The group designs and delivers world-class research and design solutions to help farmers and land managers sustainably improve their water management both in Australia and overseas.
The position will work within the Centre for Regional and Rural Futures (CeRRF) irrigation research group located in the heart of Australia’s most intensively irrigated regions, in Griffith NSW.  The position is for an initial 3 year
          fixed-term period. 
As the successful candidate you will work closely with the research staff at our Griffith facility and with staff from the CeRRF at our other Deakin campuses.  Regular liaison and collaboration with external industry partners and companies
          both for the acquisition of equipment and material and in the implementation of externally funded projects such as field monitoring and demonstrations as well as the development of wireless sensing and automation systems which can be commercially
          utilised will also be key elements of the role.
To be successful, you’ll have:

field or laboratory experience in research or industry settings with software development experience and experience maintaining sensing and/or control networks for soils, water or environmental parameters, or similar transferable skills which
            could be applied to agricultural environments
expertise in IoT sensing systems and their deployment and maintenance in a range of environments to collect sensed parameters information for research projects
an ability to program micro-controllers for sensing and control applications in IoT settings
industry or Post-doctoral research experience evidenced by the creation of patents, publications, industry outputs, conference papers, reports, or professional or technical contributions in collaboration with industry
a drivers licence as well as a willingness to live and work in Griffith, NSW.  A PhD is preferred but not essential

Your key responsibilities will be to:

conduct team based research within the field of sensing systems for water, soil and nutrient management
provide expertise, advice and support related to environmental wireless sensing and automation systems used across a range of externally funded projects undertaken by the centre
prepare and develop grant applications and research proposal submissions to external funding bodies
conduct research and engage in scholarly publication, both independently and in research teams and supervision of Masters and PhD level students
maintaining links and partnerships with rural grower groups and the farming community

Culture 
Deakin University is proud to be recognised as an organisation that offers a friendly, supportive and challenging working environment. Our staff are committed to making a genuine difference to people’s lives through excellence in education and
          research.
We acknowledge the importance of providing a dynamic and diverse working environment and offer variety in day-to-day roles as well as professional development opportunities to assist staff to grow and progress their careers.
Deakin University staff have the opportunity to interact with colleagues from a diverse range of cultures and professional backgrounds, all of whom share a common interest in lifelong learning.
Benefits 
We value our staff and understand that they are more than just their jobs, that's why we offer benefits that enhance work life. Some of Deakin’s workplace benefits include:

17% superannuation
flexible work arrangements
discounts with third party suppliers for health insurance, car rentals IT and more

About us 
The flexible learning options we provide our students and our diverse team of professionals and academic experts has enabled us to achieve a 5-star rating by the prestigious university ranking organisation Quacquarelli Symonds. For eight consecutive
          years, we've achieved the highest level of overall student satisfaction among Victorian universities.
We have a network of campuses, learning centres and research centres across Victoria and corporate offices in Melbourne, China, Indonesia, India and Sri Lanka.  Our online Cloud campus provides more than 13,000 students with access to state-of-the-art
          digital tools and direct access to world-renowned academics.
As a Victorian university with a global impact, Deakin is translating its research into commercial outcomes that will help drive innovation for Australia’s economy.
Applications close on Sunday 24 March 2019. When applying, please include a complete resume and responses to the selection criteria. Research Fellow 492334.pdf Senior Research Fellow 492334.pdf
At Deakin we value diversity, embrace difference and nurture a connected, safe and respectful community.  We recognise that our academic workforce is increasingly diverse with a variety of backgrounds, experiences and responsibilities. In many cases, academic careers can be put on hold through career breaks or part-time work arrangements to take on caring duties, gain experience in other industries, for medical reasons or other personal circumstances.  
Achievement relative to opportunity places more emphasis on the quality as opposed to the quantity of research outputs. In your application, we encourage you to comment on your achievements relative to opportunity.

", this company,1 Mar 2019,,Full Time,"Farming, Animals & Conservation",Farming Animals & Conservation,Wagga Wagga & Riverina,Wagga Wagga & Riverina,https://www.seek.com.au/job/38470929?type=standout&searchrequesttoken=b6b9a552-a9d8-4a72-bd2a-4300aba028fd,Research-Scientist
251,Senior Research Scientist - Veterinary Bacteriology,"
SENIOR RESEARCH SCIENTIST - VETERINARY BACTERIOLOGY

$96,942 - $117,293 (Plus Superannuation)
Fixed term, 3 years
Usual Work Hours: Full Time (flexibility may be available)
Usual work location: Bundoora (flexibility may be available)

Grasp the challenge of leading a multidisciplinary team and coordinating and undertaking research to implement technical and theoretical developments in molecular biology, biosecurity and diagnostics of animal bacteria and for food safety.  The
          role provides the scope to contribute to the development of research and business opportunities, identify future research needs and contribute to funding submissions for research projects to improve knowledge of infectious disease of animals. 
          You will have the opportunity to interact with external stakeholders, including Australian and international research centres, and major commercial partners.
For appointment to this position, the following skills will be demonstrated -

a degree in Biological / Agricultural Sciences, with experience as a Senior Research Scientist in the field of bacteriology and molecular biology;
experience in leading research projects related to molecular veterinary bacteriology, genomics and diagnostic development;
extensive knowledge of veterinary bacterial diagnostics and experience in working under a compliance system;
well-developed oral and written communication skills with experience in preparation of reports and scientific publications, and ability to provide dynamic presentations tailored to the audience;
skills in team leadership and development, plus the capacity for self-direction and team work; and
excellent stakeholder management skills.

As part of the Machinery of Government changes announced by the Premier of Victoria, from 1 Jan 2019 DEDJTR transitioned into the Department of Transport (DoT) & the Department of Jobs, Precincts & Regions (DJPR).  The position of
          Senior Research Scientist - Veterinary Bacteriology will sit within the Department of Jobs, Precincts and Regions (DJPR) and is part of the Agriculture Victoria Research branch in the Agriculture Victoria Group.  Agriculture Victoria works
          with industry and community stakeholders to support the agriculture, food and fibre sector to become more globally competitive, innovative and resilient.
Successful candidates will be required to undergo a National Police Records Check prior to commencing employment with the Department.
For a confidential discussion, please call Fiona Constable, Research Leader - Microbiology on 03 9032 7283 or 0407 723 086.
For further information on the position, please see the attached position description.  To apply, please click the ‘Apply Now' button below.
Applications close at midnight on 17 March 2019 and must address the Key Selection Criteria outlined in the Position Description.
", this company,1 Mar 2019,"$96,942 - $117,293 + Super",Full Time,Government & Defence,Government & Defence,Melbourne,Melbourne,https://www.seek.com.au/job/38470622?type=standard&searchrequesttoken=b6b9a552-a9d8-4a72-bd2a-4300aba028fd,Research-Scientist
252,Scientist (Blood Bank) - Sullivan Nicolaides Pathology,"
About the Organisation
Sullivan Nicolaides Pathology is one of the largest pathology practices in Australia, providing comprehensive services to patients and doctors over a large geographic area throughout Queensland and New South Wales and employing more than
          2000 people.
Sullivan Nicolaides Pathology services the Brisbane metropolitan area and regional areas extending as far north as Cairns and south to Coffs Harbour and offers both routine testing and specialised testing for referral laboratories throughout
          Australia.
About the Opportunity
Sullivan Nicolaides Pathology now has an exciting full-time opportunity for a Scientist to work in the blood bank department of our Bowen Hills laboratory. As this is the blood bank referral site for Sullivan Nicolaides Pathology,
          previous experience in a blood bank laboratory is essential. Applicants must be flexible to work across day and evening shifts in a 7 day roster. Some of the responsibilities of the role include:

Performing a range of routine and advanced blood bank tests;
Liaising with clients to ensure appropriate management of cases;
Upholding quality standards within the laboratory by adhering to departmental quality system procedures;
Complying with the occupational health and safety policy and programs to ensure personal health and safety, and the health andsafety of others in the workplace; and
Satisfying the requirements of customers both internal and external through the provision of reliable and efficient service levels. 

About the Benefits
The high level of service provided by Sullivan Nicolaides Pathology is delivered by a dedicated staff comprising of pathologists, scientists, technicians, laboratory assistants, collection personnel, couriers, computer personnel, pathology
          services assistants and other support staff. 
The organisation offers staff members the opportunity to improve their skills through ongoing training, and provides an avenue for career development and advancement.
Permanent employees enjoy the following benefits: 

Parental and Adoption Leave- SNP staff receive 6 weeks paid maternity and adoption leave as per Collective Workplace Agreement.
Staff Services Committee- provides functions and events for staff, fully funded by the Practice
Employee Assistance Program- a free, confidential and voluntary counselling service provided as a resource to employees of Sullivan Nicolaides Pathology, as well as immediate family, with the aim of assisting with the
            resolution of personal and work related problems which may affect quality of life or work performance
Private Health Insurance- staff have access to discounted private health insurance through MBF, HCF and Medibank Private
Pathology Services- staff and their immediate family (their children, partners and their parents) have access to bulk billed Pathology Services
X-Ray Services- staff and their immediate family (their children, partners and their parents) have access to bulk billed X-Ray and other diagnostic imaging through Queensland X-Ray
Smoke Free Workplace- for those staff wanting to use nicotine replacement therapy in quitting, management provides a level of financial assistance towards the cost of nicotine replacement patches.
For more information and to apply, please click ""apply now"". ", this company,12 Mar 2019,Attractive remuneration package + great benefits!,Full Time,Healthcare & Medical,Healthcare & Medical,Brisbane,Brisbane,https://www.seek.com.au/job/38550026?type=standard&searchrequesttoken=b6b9a552-a9d8-4a72-bd2a-4300aba028fd,Research-Scientist
