,id,gnaf_address_id,street,suburb,postcode,state_code,latitude,longitude,type,land_sqm,bed,bath,car,floorplan,Unnamed: 0,Beds,Baths,Car,Lot,Valuation,SateType1,SaleType2,DateSold1,DateSold2,SoldPrice1,SoldPrice2,Picture,Blob,Street_Numb,Street_Name,Street_Suff
417,4107366,4252544,9 Leichhardt Street,Lalor Park,2147,NSW,-33.766438,150.9286,house,569,2,2,2,TRUE,417,4,2,2,576,"$918,667",Private Sale            , ,Aug-09, ,"$315,000", ,https://p360images.realestateview.com.au/default/9-leichhardt-street-lalor-park-nsw-2147-xl,"This is a house in Lalor Park with 4 bedrooms and 2 bathrooms. Its postcode is 2147. The size of this block is 576 square metres. The last time this property sold was in 2009 for $315,000. ",9,Leichhardt,Street
423,4111625,4309080,172 Blacktown road,Blacktown,2148,NSW,-33.786106,150.92053,house,,1,1,2,FALSE,423,0,0,0,565,"$628,333",Private Sale            , ,Mar-03, ,"$297,000", ,https://p360images.realestateview.com.au/default/172-blacktown-road-blacktown-nsw-2148-xl,"The block size is 565 square metres. According to our data, this was last sold for $297,000 in March 2003. ",172,Blacktown,Road
428,3770454,4350733,44 Stainsby Avenue,Kings Langley,2147,NSW,-33.75666,150.94653,house,,2,2,2,TRUE,428,5,2,2,752,"$906,667",Auction            , ,Sep-17, ,"$875,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/VwFO_RX_bAO8DepcyfceyXeIyV0vrtBSQjZvze4YzyE1/44-stainsby-avenue-kings-langley-nsw-2147_img0.jpg,"44 Stainsby Avenue is a house in Kings Langley with 4 bedrooms and 3 bathrooms. Its postcode is 2147. The size of this block is 752 square metres. In August 2017 it sold for $875,000. ",44,Stainsby,Avenue
433,759219,4396086,28 Wheeler Street,Lalor Park,2147,NSW,-33.763377,150.924467,house,600,2,2,2,TRUE,433,5,2,2,606,"$790,000", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/0i2DlcCEzJkEhzUanaDOQxNgyy205yd6V02A2oSVaPg1/28-wheeler-street-lalor-park-nsw-2147_img0.jpg,"28 Wheeler Street is a house in Lalor Park with 5 bedrooms and 2 bathrooms. Its postcode is 2147. The size of this block is 606 square metres. Our records show that this was last sold in July 2005 for $294,000. ",28,Wheeler,Street
436,2121591,4445288,112 Quakers Road,Marayong,2148,NSW,-33.742387,150.889031,house,577,1,1,1,TRUE,436,3,1,1,0,"$568,333", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/bmMMAvT9hiSCQtilbl4904itvz19YBSa534ja0mJfUQ1/112-quakers-road-marayong-nsw-2148_img0.jpg,"112 Quakers Road, Marayong 2148 NSW is a house. This property has 3 bedrooms and 1 bathroom. This property is on a 578 sqm block of land. ",112,Quakers,Road
441,2903508,4457113,57 Orana Avenue,Seven Hills,2147,NSW,-33.778774,150.92546,house,,1,1,2,TRUE,441,3,1,2,636,"$576,667",Private Sale            , ,Nov-60, ,"$5,500", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/zAG_61CNJ0VU6E1W6Qy1i9dQimGtQiVn2Lf_Qt_w5Fg1/57-orana-avenue-seven-hills-nsw-2147_img0.jpg,This is a house in Seven Hills with 3 bedrooms and 1 bathroom. Its postcode is 2147. The block size is 636 sqm. ,57,Orana,Avenue
442,4163987,4458387,5/25 Fox Hills Crescent,Toongabbie,2146,NSW,-33.80359,150.92961,house,341,1,1,2,TRUE,442,0,0,0,0,"$611,333", , , , , , ,https://p360images.realestateview.com.au/default/5-25-fox-hills-crescent-toongabbie-nsw-2146-xl,This property is on a 336 sqm block of land. ,May-25,Fox Hills,Crescent
444,3929435,4477700,10 Mariko Place,Blacktown,2148,NSW,-33.787106,150.88506,house,,1,1,2,FALSE,444,3,1,2,489,"$627,667",Private Sale            ,Private Sale            ,May-05,Dec-97,"$405,000","$92,500",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/1IyrzTOwxxD5CcE8pcnbE1oAhD-UzUkPkX21gTZN6Cw1/10-mariko-place-blacktown-nsw-2148_img0.jpg,"10 Mariko Place, Blacktown 2148 NSW is a house with 3 bedrooms and 1 bathroom. It is on a block of land that is 489 sqm. According to our data, this last sold for $405,000 in May 2005. ",10,Mariko,Place
445,2530021,4485148,25 Dagmar Crescent,Blacktown,2148,NSW,-33.776888,150.89761,house,599,2,2,1,TRUE,445,3,2,1,599,"$674,000", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/xi9UelsVeRy7trVoAPfKTIrlVk9b4Kt11_AUJ4HAhXI1/25-dagmar-crescent-blacktown-nsw-2148_img0.jpg,This is a house in Blacktown with 3 bedrooms and 2 bathrooms. Its postcode is 2148. This property is on a 599 square metre block of land. ,25,Dagmar,Crescent
448,4069350,4521993,43 Baron Close,Kings Langley,2147,NSW,-33.748264,150.9264,house,712,3,3,2,TRUE,448,6,3,2,713,"$1,025,000",Private Sale            ,Private Sale            ,Apr-07,Apr-93,"$663,000","$133,490",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/yVbJaCmHWpAciGlfmmuWM3QbF64tNTRpDgNtfzyZdV41/43-baron-close-kings-langley-nsw-2147_img0.jpg,"This is a house in Kings Langley, 2147 with 6 bedrooms and 3 bathrooms. The block size of this property is 713 sqm. The last sold price we have on record for this property is $663,000 which is from April 2007. ",43,Baron,Close
449,1507622,4554772,10 Quakers Road,Marayong,2148,NSW,-33.74653,150.89854,house,531,1,1,0,TRUE,449,2,1,0,525,"$581,167", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/O3RB8Vg3K1GG8CmDFD5UtrWGfGW2NmHF07-WZEqcAyo1/10-quakers-road-marayong-nsw-2148_img0.jpg,This is a house in Marayong with 2 bedrooms and 1 bathroom. Its postcode is 2148. The block size of this property is 525 square metres. ,10,Quakers,Road
450,216237,4562211,46 Wall Park Avenue,Seven Hills,2147,NSW,-33.777178,150.927684,house,620,2,2,3,TRUE,450,4,1,2,559,"$756,000", ,Private Sale            , ,Sep-11, ,"$488,000",https://p360images.realestateview.com.au/default/46-wall-park-avenue-seven-hills-nsw-2147-xl,"46 Wall Park Avenue is a house in Seven Hills with 4 bedrooms and 1 bathroom. Its postcode is 2147. The block size is 598 sqm. This house last sold for $488,000 in September 2011. ",46,Wall Park,Avenue
451,4156272,4563139,20 Ashcott Street,Kings Langley,2147,NSW,-33.752148,150.92775,house,696,2,2,2,TRUE,451,4,2,2,690,"$952,500",Private Sale            ,Private Sale            ,Apr-16,Oct-08,"$795,000","$420,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/Nm61zUXrcxYSAbAdgN0kINzUSH5kxb1Zl50QDovsKPs1/20-ashcott-street-kings-langley-nsw-2147_img0.jpg,"20 Ashcott Street, Kings Langley 2147 NSW is a house. This property has 4 bedrooms and 2 bathrooms. It is on a block of land that is 690 sqm. When it last sold in 2016, it went for $795,000. ",20,Ashcott,Street
452,214312,4574611,143 Lucas Road,Lalor Park,2147,NSW,-33.767032,150.926813,house,,1,1,1,TRUE,452,3,1,0,730,"$634,333", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/eOoDE3e-4YuT5eooK4jBKdmgCkuufH0tA9TIcZgWH681/143-lucas-road-lalor-park-nsw-2147_img0.jpg,"143 Lucas Road, Lalor Park 2147 NSW is a house. It has 3 bedrooms and 1 bathroom. This is on a 730 sqm block of land. ",143,Lucas,Road
458,4092480,4656788,13 Eggleton Street,Blacktown,2148,NSW,-33.748657,150.919723,house,562,1,1,3,TRUE,458,3,1,3,569,"$633,333",Auction            , ,May-18, ,"$635,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/u3LXqbnCYPJHooqgzZFM9C0KxrtB462gSmzET5-WETM1/13-eggleton-street-blacktown-nsw-2148_img0.jpg,"13 Eggleton Street, Blacktown 2148 NSW is a house with 3 bedrooms and 1 bathroom. Its land area is 569 sqm. This house was last sold for $635,000 in May 2018. ",13,Eggleton,Street
460,214289,4675828,11 Venn Avenue,Lalor Park,2147,NSW,-33.757857,150.923358,house,,1,1,2,TRUE,460,0,0,0,348,"$661,667",Private Sale            ,Private Sale            ,Aug-02,Jul-99,"$319,000","$93,000",https://p360images.realestateview.com.au/default/11-venn-avenue-lalor-park-nsw-2147-xl,"The land area of this property is 348 sqm. Last time it sold, it went for $319,000, which was in 2002. ",11,Venn,Avenue
461,68387,4681211,29 Mort Street,Blacktown,2148,NSW,-33.760823,150.919105,house,556,2,2,0,TRUE,461,3,2,0,564,"$689,333", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/T8cZfHGnsWHoAeG7Of7DXapJpRt0J6QOFiY326JHfAg1/29-mort-street-blacktown-nsw-2148_img0.jpg,"This is a house in Blacktown, 2148 with 3 bedrooms and 2 bathrooms. The size of this block is 564 sqm. It was last sold in 2018 for $670,000. ",29,Mort,Street
462,4085195,4690979,10 Gilmore Road,Lalor Park,2147,NSW,-33.75753,150.930227,house,556,1,1,1,TRUE,462,3,1,1,558,"$681,667",Private Sale            , ,Dec-15, ,"$550,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/Ur7yNQ6CUKhqjmJfeJsnWExB2Zyk0xF_b1euXxHtk601/10-gilmore-road-lalor-park-nsw-2147_img0.jpg,"10 Gilmore Road, Lalor Park 2147 NSW is a house. It has 3 bedrooms and 1 bathroom. This property is on a 558 sqm block of land. Last time it sold, it went for $550,000, which was in November 2015. ",10,Gilmore,Road
463,855122,4717335,5 Panaview Crescent,North Rocks,2151,NSW,-33.777664,151.029496,house,695,4,4,3,TRUE,463,5,4,3,704,"$1,501,833", , , , , , ,https://p360images.realestateview.com.au/default/5-panaview-crescent-north-rocks-nsw-2151-xl,"5 Panaview Crescent, North Rocks 2151 NSW is a house with 5 bedrooms and 4 bathrooms. This property is on a 704 sqm block of land. ",5,Panaview,Crescent
466,4126486,4734099,21 Caird Place,Seven Hills,2147,NSW,-33.768353,150.94203,house,552,2,2,1,TRUE,466,4,2,1,538,"$962,500", ,Private Sale            , ,Aug-97, ,"$217,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/RiDp3cdX1rtYRujiB2gplFvcxkYRXMIeg6_bABZ2aGk1/21-caird-place-seven-hills-nsw-2147_img0.jpg,"21 Caird Place, Seven Hills 2147 NSW is a house with 4 bedrooms and 2 bathrooms. The block size of this property is 538 sqm. This last sold for $217,000 in August 1997. ",21,Caird,Place
467,338363,4740921,19 Chester Street,Blacktown,2148,NSW,-33.767355,150.894891,house,,2,2,2,TRUE,467,4,2,2,792,"$704,776", ,Private Sale            , ,Jul-18, , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/9EIDMt0ekm5nCdiKMiyHLHZdTfZpc9Eu52O5iPFdCDg1/19-chester-street-blacktown-nsw-2148_img0.jpg,"19 Chester Street, Blacktown 2148 NSW is a house with 4 bedrooms and 2 bathrooms. The size of this block is 792 square metres. This house was last sold for $825,000 in July 2018. ",19,Chester,Street
475,855816,4845132,65 Picasso Crescent,Old Toongabbie,2146,NSW,-33.784692,150.969414,house,556,2,2,2,TRUE,475,4,2,2,565,"$918,667",Private Sale            ,Private Sale            ,Jul-18,Mar-07,"$852,000","$425,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/OqJIPRO-iBFlYu8tGX8CFeD2mYq7jkErByaU802xtck1/65-picasso-crescent-old-toongabbie-nsw-2146_img0.jpg,"65 Picasso Crescent is a house in Old Toongabbie with 4 bedrooms and 2 bathrooms. Its postcode is 2146. This property is on a 565 square metre block of land. In March 2007 it sold for $425,000. ",65,Picasso,Crescent
477,4083413,4852507,5 Hicks Place,Kings Langley,2147,NSW,-33.752122,150.939251,house,700,2,2,2,TRUE,477,5,2,2,725,"$906,667", ,Private Sale            , ,Mar-07, ,"$430,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/4XtpnM2-o5PYMhNNXdS-woLIa0Hbe6yDnX1ua7ncQAs1/5-hicks-place-kings-langley-nsw-2147_img0.jpg,"5 Hicks Place, Kings Langley 2147 NSW is a house with 5 bedrooms and 2 bathrooms. The size of this block is 725 square metres. Last time it sold was for $956,500, which was in May 2018. ",5,Hicks,Place
480,1183172,4903666,38 Madeira Avenue,Kings Langley,2147,NSW,-33.752918,150.929914,house,696,1,1,4,TRUE,480,3,1,4,738,"$681,667", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/nss6zcabgErBt053JbDphkOVDHLBBczHdfOsWoFjfME1/38-madeira-avenue-kings-langley-nsw-2147_img0.jpg,"38 Madeira Avenue, Kings Langley 2147 NSW is a house. This property has 3 bedrooms and 1 bathroom. It is on a block of land that is 738 square metres. ",38,Madeira,Avenue
482,37135,4937911,11 Tunley Place,Kings Langley,2147,NSW,-33.740047,150.920759,house,691,2,2,2,TRUE,482,3,2,2,727,"$745,833",Private Sale            ,Private Sale            ,Aug-13,Jan-06,"$625,000","$475,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/HedisDgFeAPfpT7tej8-mA9BDsk9nbQTYaq0lhp-UV41/11-tunley-place-kings-langley-nsw-2147_img0.jpg,"This is a house in Kings Langley, 2147 with 3 bedrooms and 2 bathrooms. The land area is 727 square metres. It was last sold in August 2013 for $625,000. ",11,Tunley,Place
484,68354,4952265,137A Kildare Road,Blacktown,2148,NSW,-33.768784,150.89215,house,,3,3,2,FALSE,484,5,3,2,318,"$856,000", ,Private Sale            , ,Nov-12, ,"$535,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/dXUie_1ItAtZfarvdkUS2bKSFJEyS0MhjOA3Mq0EmAY1/137a-kildare-road-blacktown-nsw-2148_img0.jpg,"137A Kildare Road, Blacktown 2148 NSW is a house with 5 bedrooms and 3 bathrooms. It is on a block of land that is 322 square metres. When it last sold in November 2012, it went for $535,000. ",137A,Kildare,Road
486,3335545,4969177,5 Rawton Avenue,Northmead,2152,NSW,-33.790478,150.99141,house,607,2,2,2,FALSE,486,3,2,2,612,"$885,833", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/oYTyOzOZJ9RITIAS2cMXjkF95YnA0KDLhvBGrOBNl3w1/5-rawton-avenue-northmead-nsw-2152_img0.jpg,"5 Rawton Avenue, Northmead 2152 NSW is a house. This property has 3 bedrooms and 2 bathrooms. This is on a 612 square metre block of land. This house previously sold for $292,000 in February 2000. ",5,Rawton,Avenue
487,4077242,4974596,6 Lorraine Street,Seven Hills,2147,NSW,-33.76888,150.940178,house,746,2,2,2,TRUE,487,6,2,2,752,"$858,833",Private Sale            , ,Jun-18, ,"$870,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/7cNVVDspXVZAwc3VaR6OOs2X7QU6Ldxr0v2HC5Y2ApQ1/6-lorraine-street-seven-hills-nsw-2147_img0.jpg,"6 Lorraine Street is a house in Seven Hills with 6 bedrooms and 2 bathrooms. Its postcode is 2147. This property is on a 746 square metre block of land. When it last sold in June 2018, it went for $870,000. ",6,Lorraine,Street
488,123961,4977499,17 Becky Avenue,North Rocks,2151,NSW,-33.774873,151.026658,house,701,3,3,4,TRUE,488,5,3,3,665,"$1,490,333",Private Sale            ,Private Sale            ,Sep-99,Nov-96,"$342,500","$250,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/VeauPaPL3BHLDDALP2iUIiXFtmRMkenupcXUGx56uQQ1/17-becky-avenue-north-rocks-nsw-2151_img0.jpg,"This is a house in North Rocks with 5 bedrooms and 3 bathrooms. Its postcode is 2151. Its block size is 665 square metres. Last time it sold was for $342,500, which was in September 1999. ",17,Becky,Avenue
495,68394,5078260,76 Western Crescent,Blacktown,2148,NSW,-33.780506,150.90004,house,,3,3,1,FALSE,495,5,3,1,571,"$866,000", ,Private Sale            , ,Feb-15, ,"$640,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/aABfzUAMFO4W9zo4xQD30lGh1-TGEfqqVf9sSBesLVI1/76-western-crescent-blacktown-nsw-2148_img0.jpg,"76 Western Crescent, Blacktown 2148 NSW is a house with 5 bedrooms and 3 bathrooms. This is on a 571 square metre block of land. Last time it sold, it went for $640,000, which was in 2015. ",76,Western,Crescent
496,214309,5087667,69 Christine Crescent,Lalor Park,2147,NSW,-33.763334,150.934189,house,569,1,1,2,TRUE,496,3,1,2,0,"$665,000", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/AySwMuMZHFyKyVPArIJBhHtVWWOOe3qT13dgTrOGvdo1/69-christine-crescent-lalor-park-nsw-2147_img0.jpg,"69 Christine Crescent is a house in Lalor Park with 3 bedrooms and 1 bathroom. Its postcode is 2147. Its land area is 568 sqm. This house was last sold for $620,000 in June 2018. ",69,Christine,Crescent
498,1088934,5106418,9 De Castella Drive,Blacktown,2148,NSW,-33.78143,150.88041,house,403,1,1,2,TRUE,498,3,1,1,0,"$611,000", ,Private Sale            , ,Dec-08, ,"$330,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/CrRbofqilza17TVIYr53e7pgcW9qpmykgI2t7I0BJUE1/9-de-castella-drive-blacktown-nsw-2148_img0.jpg,"9 De Castella Drive, Blacktown 2148 NSW is a house with brick veneer walls. This property has 3 bedrooms and 1 bathroom. The size of this block is 404 square metres. This house last sold for $330,000 in December 2008. ",9,De Castella,Drive
499,1188608,5112022,69 PENDANT AVENUE,Blacktown,2148,NSW,-33.785206,150.913835,house,613,2,2,2,TRUE,499,6,2,1,0,"$853,333", ,Private Sale            , ,Oct-07, ,"$100,000",https://p360images.realestateview.com.au/default/69-pendant-avenue-blacktown-nsw-2148-xl,"69 Pendant Avenue, Blacktown 2148 NSW is a house. It has 6 bedrooms and 2 bathrooms. Its land area is 637 square metres. When it last sold in October 2007, it went for $100,000. ",69,PENDANT,Avenue
504,1140716,5160518,315 Bungarribee Rd,Blacktown,2148,NSW,-33.774071,150.884183,house,552,1,1,3,TRUE,504,3,1,1,552,"$602,333",Private Sale            ,Private Sale            ,Jul-13,Jun-12,"$350,000","$325,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/Uw_hrV0Or_tFi02dFLU2xv_kwCVIRUu8YFP61SWeJbw1/315-bungarribee-road-blacktown-nsw-2148_img0.jpg,"This is a house in Blacktown, 2148 with 3 bedrooms and 1 bathroom. This property is on a 552 sqm block of land. According to our records, this last sold for $350,000 in July 2013. ",315,Bungarribee,Road
509,3342626,5218677,9 Fowler Street,Seven Hills,2147,NSW,-33.78077,150.9252,house,575,5,2,1,TRUE,509,3,1,2,591,"$648,333",Private Sale            ,Private Sale            ,Feb-09,Mar-92,"$300,000","$135,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/aO_03ccMIy3fyV2B09Od6__a7LxxoFsYdDHmjdxZzgo1/9-fowler-street-seven-hills-nsw-2147_img0.jpg,"9 Fowler Street, Seven Hills 2147 NSW is a house. This property has 3 bedrooms and 1 bathroom. It is on a block of land that is 591 square metres. Last time it sold, it went for $300,000, which was in February 2009. ",9,Fowler,Street
510,68437,5223600,7/26 West Street,Blacktown,2148,NSW,-33.77988,150.908,house,,2,2,1,FALSE,510,0,0,0,0,"$540,000", , , , , , ,https://p360images.realestateview.com.au/default/7-26-west-street-blacktown-nsw-2148-xl,"7/26 West Street, Blacktown 2148 NSW is a house with 4 bedrooms and 2 bathrooms. ",Jul-26,West,Street
515,128478,5258713,58 Bulli Road,Toongabbie,2146,NSW,-33.791358,150.962582,house,619,1,1,2,FALSE,515,0,0,0,0,"$736,684", , , , , , ,https://p360images.realestateview.com.au/default/58-bulli-road-toongabbie-nsw-2146-xl,The size of this block is 625 square metres. ,58,Bulli,Road
519,124443,5292981,217 Richmond Road,Marayong,2148,NSW,-33.752058,150.887717,house,,1,1,2,TRUE,519,0,0,0,538,"$608,000",Private Sale            , ,May-01, ,"$140,000", ,https://p360images.realestateview.com.au/default/217-richmond-road-marayong-nsw-2148-xl,"217 Richmond Road, Marayong 2148 NSW is a house with 3 bedrooms and 1 bathroom. The block size of this property is 538 sqm. It last sold for $140,000 in May 2001. ",217,Richmond,Road
522,307149,5316202,4 Mercury Place,Kings Langley,2147,NSW,-33.753427,150.950753,house,645,5,4,0,TRUE,522,4,4,0,650,"$895,000",Private Sale            , ,Nov-04, ,"$470,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/_QWr0LdXa-14Tv5D5NOylj3lY1PhaG3OmUeQNAFMvOs1/4-mercury-place-kings-langley-nsw-2147_img0.jpg,"4 Mercury Place is a house in Kings Langley with 4 bedrooms and 4 bathrooms. Its postcode is 2147. The land area is 650 square metres. According to our data, this was last sold for $470,000 in November 2004. ",4,Mercury,Place
523,2676719,5317133,8 Heber Place,Prospect,2148,NSW,-33.800022,150.9149,house,,2,2,2,FALSE,523,4,2,2,576,"$761,267",Private Sale            , ,Mar-95, ,"$391,500", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/mAae2MdSHwzDUigiFVkRYq3RVFQ1-Dryep7kboQTlho1/8-heber-place-prospect-nsw-2148_img0.jpg,"8 Heber Place, Prospect 2148 NSW is a house. It has 4 bedrooms and 2 bathrooms. The land area of this property is 576 sqm. Last time it sold, it went for $391,500, which was in 1995. ",8,Heber,Place
527,2706508,5331650,34 Bridge View Street,Blacktown,2148,NSW,-33.788371,150.905594,house,638,1,1,1,TRUE,527,3,1,1,640,"$597,167", ,Private Sale            , ,Jul-03, ,"$325,000",https://p360images.realestateview.com.au/default/34-bridge-view-street-blacktown-nsw-2148-xl,"This is a house in Blacktown with 3 bedrooms and 1 bathroom. Its postcode is 2148. The size of this block is 640 square metres. Our records show that this was last sold in 2003 for $325,000. ",34,Bridge View,Street
528,124444,5337809,45 Noel Street,Marayong,2148,NSW,-33.75815,150.89912,house,,2,2,2,FALSE,528,4,2,2,566,"$718,109", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/9yOa3FghM1KsUSv_G3feg3lLZlgGo4K4C0PnIfahD6I1/45-noel-street-marayong-nsw-2148_img0.jpg,45 Noel Street is a house in Marayong with 4 bedrooms and 2 bathrooms. Its postcode is 2148. Its land area is 566 square metres. ,45,Noel,Street
531,124457,5349894,2 Davis Road,Marayong,2148,NSW,-33.757741,150.895934,house,,1,1,1,TRUE,531,4,1,1,581,"$760,000",Private Sale            , ,Aug-09, ,"$303,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/VPDJDx4dfPj4mNhSvTKipN60HHc3NzFhEZOyCMKO7Ws1/2-davis-road-marayong-nsw-2148_img0.jpg,"This is a house in Marayong, 2148 with 4 bedrooms and 1 bathroom. This property is on a 581 sqm block of land and the land is level. Last time it sold was for $303,000, which was in August 2009. ",2,Davis,Road
533,1577585,5359356,23 Sydney Joseph Drive,Seven Hills,2147,NSW,-33.764226,150.947963,house,556,1,1,1,TRUE,533,3,1,1,0,"$676,667", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/e19XzhvoIei3AdYrBH0h8JHI__hwGPgEhci5BwN1fB81/23-sydney-joseph-drive-seven-hills-nsw-2147_img0.jpg,"23 Sydney Joseph Drive, Seven Hills 2147 NSW is a house. It has 3 bedrooms and 1 bathroom. The block size of this property is 558 sqm. ",23,Sydney Joseph,Drive
539,3502777,5392402,17 Wentworth Avenue,North Rocks,2151,NSW,-33.77973,151.011918,house,696,1,1,1,TRUE,539,3,1,1,697,"$1,032,000",Private Sale            ,Private Sale            ,Jul-03,May-02,"$535,000","$430,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/jFCKQwYRElcJY3TS1FyyCNuczrb4mnl7WEM3DVyDU_k1/17-wentworth-avenue-north-rocks-nsw-2151_img0.jpg,"This is a house in North Rocks, 2151 with 3 bedrooms and 1 bathroom. Its land area is 697 square metres. It last sold for $535,000 in July 2003. ",17,Wentworth,Avenue
541,2461069,5409149,13 Rae Street,Seven Hills,2147,NSW,-33.768974,150.92647,house,,1,1,2,FALSE,541,3,1,2,580,"$720,333", ,Private Sale            , ,Jul-14, ,"$496,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/A07s21MHSCBgshOI4Xuxh6wcEzg7P83fx0yaBtFkgME1/13-rae-street-seven-hills-nsw-2147_img0.jpg,"13 Rae Street, Seven Hills 2147 NSW is a house. This property has 3 bedrooms and 1 bathroom. The block size of this property is 580 square metres. The last sold price we have on record for this address is $496,000 which is from July 2014. ",13,Rae,Street
543,68390,5419448,187 Kildare Road,Blacktown,2148,NSW,-33.76729,150.88759,house,,1,1,1,FALSE,543,3,1,1,450,"$611,667", ,Private Sale            , ,Mar-10, , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/yBbWtH8RPSXa05ineJeAbavAzJHV9_y_4YvNVdoGAGM1/187-kildare-road-blacktown-nsw-2148_img0.jpg,"187 Kildare Road, Blacktown 2148 NSW is a brick veneer wall house. This property has 3 bedrooms and 1 bathroom. The size of this block is 450 sqm. Last time it sold, it went for $292,000, which was in March 2010. ",187,Kildare,Road
545,2402014,5422424,136 Windsor Road,Northmead,2152,NSW,-33.78481,150.9956,house,,2,2,2,TRUE,545,4,2,2,558,"$952,000",Private Sale            ,Private Sale            ,Nov-14,Apr-09,"$680,000","$440,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/DrvSWUHkL11WEm2-N8oeYPiSVGo5MsBNs7vNy6sC--Q1/136-windsor-road-northmead-nsw-2152_img0.jpg,"136 Windsor Road is a house in Northmead with 4 bedrooms and 2 bathrooms. Its postcode is 2152. The land area is 558 square metres. The last time this property sold was in 2014 for $680,000. ",136,Windsor,Road
549,214296,5442804,25 Cartwright Crescent,Lalor Park,2147,NSW,-33.760134,150.934688,house,575,1,1,1,TRUE,549,3,1,1,582,"$665,000",Private Sale            ,Private Sale            ,Jan-03,Mar-98,"$290,000","$123,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/Fn8AYp-FpjK8FldwzigePMd38i8tB6TwAZ8Ep-ePQTI1/25-cartwright-crescent-lalor-park-nsw-2147_img0.jpg,"25 Cartwright Crescent, Lalor Park 2147 NSW is a house. It has 3 bedrooms and 1 bathroom. This is on a 582 sqm block of land. Last time it sold was for $290,000, which was in January 2003. ",25,Cartwright,Crescent
552,3152619,5480468,70 Wall Park Avenue,Seven Hills,2147,NSW,-33.776703,150.92534,house,660,1,1,1,FALSE,552,3,2,1,619,"$667,000", ,Private Sale            , ,May-98, ,"$112,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/cMy72ujH6JWclnuYGzd-4-g8xuNW9Nzq8l6iD8bfOUA1/70-wall-park-avenue-seven-hills-nsw-2147_img0.jpg,"70 Wall Park Avenue, Seven Hills 2147 NSW is a house. This property has 3 bedrooms and 1 bathroom. This is on a 601 square metre block of land. The last time this property sold was in May 1998 for $112,000. ",70,Wall Park,Avenue
553,2432705,5499266,12 Ivy Street,Toongabbie,2146,NSW,-33.782238,150.9463,house,697,1,1,2,TRUE,553,3,1,2,610,"$660,333", ,Private Sale            , ,Nov-15, ,"$670,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/RVR220qmMELyukhRHmZT0eiRzH6_khRtHeoCA0NuWKI1/12-ivy-street-toongabbie-nsw-2146_img0.jpg,"12 Ivy Street is a house in Toongabbie with 3 bedrooms and 1 bathroom. Its postcode is 2146. This is on a 610 sqm block of land. According to our records, this last sold for $669,250 in November 2015. ",12,Ivy,Street
